rank	yeast_gene	ensemble_score
247	YDR110W	0.762871
248	YDR289C	0.762090
249	YGL014W	0.760530
250	YLR253W	0.760530
251	YDR480W	0.759750
252	YDR285W	0.758970
253	YIL079C	0.757020
254	YBL010C	0.756630
255	YPR065W	0.756240
256	YLR265C	0.755460
257	YNL248C	0.755070
258	YBR280C	0.754680
259	YEL066W	0.754290
260	YOR156C	0.753900
261	YOR315W	0.753120
262	YOR028C	0.752730
263	YKL185W	0.752730
264	YOL042W	0.750780
265	YIL056W	0.750780
266	YBR276C	0.750390
267	YKL166C	0.749220
268	YLR120C	0.748050
269	YML058W-A	0.746490
270	YCR020W-B	0.746100
271	YAL015C	0.744930
272	YLR352W	0.744540
273	YIL107C	0.743760
274	YMR145C	0.743370
275	YLR052W	0.743370
276	YLR006C	0.742980
277	YPL176C	0.742980
278	YIL072W	0.742200
279	YNL273W	0.742200
280	YGL019W	0.742200
281	YDR254W	0.741810
282	YOR197W	0.740250
283	YLR221C	0.738690
284	YDR485C	0.738300
285	YNL286W	0.738300
286	YER110C	0.736739
287	YLR098C	0.736739
288	YPL133C	0.735179
289	YOR191W	0.735179
290	YDR098C	0.734399
291	YBR034C	0.734399
292	YBR278W	0.734009
293	YGR240C	0.734009
294	YOR039W	0.734009
295	YKR064W	0.732449
296	YDR279W	0.732449
297	YLR401C	0.732059
298	YAL054C	0.731279
299	YNL119W	0.731279
300	YJL168C	0.731279
301	YPR184W	0.731279
302	YDR099W	0.730109
303	YOR173W	0.729719
304	YOR351C	0.729719
305	YGL166W	0.728549
306	YER143W	0.728159
307	YLR451W	0.727769
308	YBR125C	0.726989
309	YCR087C-A	0.726989
310	YIR001C	0.726209
311	YMR164C	0.725819
312	YBL056W	0.725819
313	YML007W	0.725429
314	YDR117C	0.723089
315	YKR029C	0.723089
316	YLR233C	0.722309
317	YMR177W	0.722309
318	YDL020C	0.722309
319	YDR457W	0.721529
320	YOR229W	0.719969
321	YGL174W	0.718799
322	YDL127W	0.718409
323	YGL179C	0.717239
324	YBR188C	0.717239
325	YPR042C	0.715289
326	YMR042W	0.714899
327	YJR053W	0.712949
328	YLR429W	0.712559
329	YMR139W	0.712559
330	YOR001W	0.711778
331	YBR089C-A	0.710998
332	YJR014W	0.710998
333	YOL087C	0.710218
334	YDR482C	0.710218
335	YMR127C	0.710218
336	YGR056W	0.706318
337	YOL054W	0.705928
338	YDR422C	0.705148
339	YMR105C	0.705148
340	YMR306W	0.704758
341	YIL153W	0.704368
342	YEL018W	0.703198
343	YMR037C	0.702418
344	YGL222C	0.698128
345	YDR130C	0.698128
346	YBR223C	0.697738
347	YMR048W	0.697348
348	YDL135C	0.696568
349	YJR059W	0.696568
350	YLR309C	0.695398
351	YDL236W	0.694618
352	YNL130C	0.693838
353	YNL218W	0.693448
354	YDR004W	0.693058
355	YMR119W	0.692278
356	YFL033C	0.691888
357	YLR210W	0.691498
358	YPL154C	0.690718
359	YJR052W	0.690328
360	YNL299W	0.690328
361	YKL025C	0.689158
362	YDR181C	0.689158
363	YPR052C	0.688378
364	YKL090W	0.688378
365	YPL002C	0.687598
366	YNL227C	0.687598
367	YGL253W	0.686817
368	YLR055C	0.686427
369	YMR201C	0.686427
370	YLR018C	0.686037
371	YDR421W	0.686037
372	YNL128W	0.685647
373	YHR081W	0.685647
374	YLR074C	0.685257
375	YOL045W	0.685257
376	YJL164C	0.684477
377	YPR155C	0.684087
378	YNR032C-A	0.683307
379	YBR240C	0.682917
380	YNR031C	0.681357
381	YNR009W	0.679407
382	YNL230C	0.679407
383	YPL001W	0.679017
384	YLR387C	0.678237
385	YNL307C	0.677847
386	YMR167W	0.677067
387	YOR025W	0.676677
388	YER106W	0.676287
389	YPR068C	0.675507
390	YNR015W	0.674727
391	YGL209W	0.674727
392	YMR137C	0.672387
393	YOL012C	0.672387
394	YPR031W	0.672387
395	YIL132C	0.671997
396	YNL155W	0.671997
397	YCR033W	0.670827
398	YJR135C	0.668877
399	YGR021W	0.667317
400	YHL006C	0.666147
401	YIR005W	0.665757
402	YLR377C	0.665367
403	YNL236W	0.664977
404	YGL194C	0.664977
405	YER142C	0.663417
406	YDR295C	0.663417
407	YGR019W	0.663027
408	YPL157W	0.662637
409	YML103C	0.661856
410	YKR082W	0.658736
411	YLR097C	0.657956
412	YDR495C	0.656786
413	YML121W	0.656396
414	YML027W	0.654446
415	YKL127W	0.654446
416	YBR105C	0.653666
417	YBL039C	0.652496
418	YJL204C	0.652106
419	YNL107W	0.650936
420	YHR206W	0.650936
421	YFR013W	0.650156
422	YNL059C	0.648986
423	YDL090C	0.647816
424	YMR186W	0.647816
425	YAR035W	0.646646
426	YGR067C	0.646256
427	YHL034C	0.646256
428	YBR182C	0.646256
429	YDR314C	0.646256
430	YHR066W	0.646256
431	YIR023W	0.645866
432	YNL072W	0.645866
433	YOL117W	0.644696
434	YKL086W	0.643136
435	YGL151W	0.642356
436	YBR059C	0.641186
437	YGR152C	0.640796
438	YBL002W	0.640406
439	YGR270W	0.639236
440	YLR385C	0.638846
441	YGR229C	0.636895
442	YDR076W	0.636115
443	YER028C	0.636115
444	YDR306C	0.635335
445	YBL009W	0.635335
446	YJR096W	0.634945
447	YGL060W	0.632995
448	YDR156W	0.632605
449	YLR394W	0.631825
450	YGL003C	0.631825
451	YLR384C	0.631045
452	YIL112W	0.629875
453	YOR290C	0.628705
454	YDR440W	0.628705
455	YOL041C	0.627925
456	YGL192W	0.627925
457	YOL080C	0.627535
458	YPR057W	0.625975
459	YDR386W	0.625975
460	YOR076C	0.625195
461	YFR014C	0.624025
462	YPL008W	0.623635
463	YLL002W	0.622855
464	YMR304W	0.622465
465	YDR121W	0.622075
466	YJR099W	0.621295
467	YDR049W	0.620905
468	YOR032C	0.620125
469	YMR036C	0.620125
470	YPL166W	0.617395
471	YBL051C	0.617395
472	YGL094C	0.616615
473	YKL032C	0.616615
474	YJL176C	0.616225
475	YHR167W	0.616225
476	YAL017W	0.615835
477	YCL061C	0.615055
478	YFL013C	0.614665
479	YLL048C	0.614275
480	YLR278C	0.613885
481	YAL040C	0.613495
482	YDR451C	0.613105
483	YNL209W	0.611934
484	YDR139C	0.611544
485	YOR047C	0.610764
486	YML057W	0.609594
487	YDR293C	0.609594
488	YOR208W	0.608814
489	YPL253C	0.608814
490	YPR022C	0.608424
491	YLR043C	0.607644
492	YDR101C	0.607644
493	YDR363W	0.607254
494	YDR253C	0.607254
495	YER049W	0.606474
496	YER051W	0.606474
497	YDR469W	0.604914
498	YJL110C	0.603744
499	YMR275C	0.603354
500	YER120W	0.603354
501	YLR136C	0.602964
502	YKR057W	0.602964
503	YLR363C	0.601794
504	YPL256C	0.601404
505	YOR153W	0.600624
506	YHR033W	0.600624
507	YNR051C	0.600234
508	YDR096W	0.599844
509	YKL205W	0.597114
510	YMR075W	0.597114
511	YER100W	0.596334
512	YAR042W	0.594774
513	YLR288C	0.594774
514	YCL024W	0.593214
515	YJL210W	0.592434
516	YJL178C	0.592044
517	YAL053W	0.590874
518	YNL068C	0.590484
519	YOR298C-A	0.590094
520	YGL043W	0.589704
521	YGR003W	0.589704
522	YBR231C	0.589314
523	YNL138W	0.588534
524	YMR012W	0.588144
525	YOR346W	0.588144
526	YMR180C	0.587754
527	YDR334W	0.587363
528	YGR109C	0.586583
529	YFL007W	0.586193
530	YOL089C	0.585803
531	YGL090W	0.585413
532	YIL119C	0.585023
533	YAL027W	0.585023
534	YDR320C	0.584243
535	YML074C	0.583073
536	YNL314W	0.583073
537	YPL015C	0.583073
538	YMR136W	0.582683
539	YCL011C	0.581903
540	YNR032W	0.581123
541	YMR255W	0.579173
542	YER007C-A	0.579173
543	YML109W	0.578783
544	YOL001W	0.578783
545	YJL141C	0.577223
546	YJR094C	0.574493
547	YGL254W	0.574493
548	YMR205C	0.574103
549	YBR203W	0.573323
550	YLR381W	0.572933
551	YCR073C	0.570983
552	YMR026C	0.569033
553	YPL213W	0.569033
554	YKL116C	0.568643
555	YCL029C	0.567083
556	YDR005C	0.566303
557	YMR302C	0.566303
558	YBR107C	0.565523
559	YOL113W	0.565523
560	YDR358W	0.563963
561	YNL278W	0.560062
562	YNR074C	0.560062
563	YPL026C	0.559672
564	YIR002C	0.558892
565	YPL086C	0.558112
566	YOR337W	0.558112
567	YLR228C	0.558112
568	YBL103C	0.556942
569	YBL008W	0.555772
570	YCL032W	0.554992
571	YHL027W	0.554602
572	YEL061C	0.554212
573	YGR122W	0.554212
574	YER105C	0.553822
575	YBR001C	0.553822
576	YAL021C	0.552262
577	YDL194W	0.549922
578	YER130C	0.547972
579	YGL058W	0.547972
580	YLR335W	0.547192
581	YER151C	0.546412
582	YGL195W	0.545632
583	YNL239W	0.544852
584	YPL046C	0.543292
585	YNL323W	0.542902
586	YFL031W	0.541342
587	YBR279W	0.540952
588	YPL202C	0.540952
589	YDR009W	0.539782
590	YDL051W	0.539782
591	YOR061W	0.538222
592	YML001W	0.537441
593	YHR111W	0.537051
594	YDL019C	0.537051
595	YJL128C	0.536661
596	YLR102C	0.532371
597	YKR091W	0.530031
598	YKL139W	0.529641
599	YPR196W	0.529251
600	YPL274W	0.527301
601	YPR101W	0.527301
602	YGR247W	0.526911
603	YAL024C	0.526521
604	YHR124W	0.526131
605	YAR003W	0.524571
606	YPL248C	0.523401
607	YGL162W	0.523011
608	YIL009C-A	0.522621
609	YLR025W	0.522231
610	YJR066W	0.521841
611	YPL181W	0.521061
612	YMR273C	0.520671
613	YHR079C	0.520671
614	YDL002C	0.520281
615	YER139C	0.519891
616	YAL056W	0.517941
617	YDL179W	0.517941
618	YNL021W	0.517551
619	YPR149W	0.517161
620	YKL029C	0.515991
621	YER075C	0.515601
622	YHR192W	0.515211
623	YGR249W	0.514431
624	YKR034W	0.513651
625	YBR028C	0.513651
626	YER089C	0.510140
627	YNR007C	0.509750
628	YGR044C	0.508970
629	YER184C	0.508580
630	YDL106C	0.508580
