rank	yeast_gene	ensemble_score
246	YOR386W	0.657176
247	YNL224C	0.656396
248	YJL092W	0.656006
249	YAL053W	0.655616
250	YLR180W	0.654836
251	YKL091C	0.654446
252	YDL138W	0.654446
253	YNR032W	0.654056
254	YAL051W	0.654056
255	YAL059W	0.653276
256	YGR021W	0.653276
257	YMR080C	0.652496
258	YHL002W	0.652496
259	YJL115W	0.652496
260	YLR014C	0.651716
261	YPR046W	0.651716
262	YLR401C	0.651326
263	YDR217C	0.650936
264	YOR173W	0.650546
265	YGL151W	0.650156
266	YDR283C	0.649766
267	YML057W	0.648596
268	YOR269W	0.648206
269	YOR230W	0.647816
270	YEL066W	0.647036
271	YDR066C	0.647036
272	YMR172W	0.646256
273	YDR432W	0.645866
274	YCL024W	0.645476
275	YPL033C	0.644696
276	YBL051C	0.644696
277	YML061C	0.644306
278	YBR140C	0.643526
279	YDR482C	0.642746
280	YJL137C	0.642356
281	YML072C	0.642356
282	YER031C	0.641966
283	YPR040W	0.641966
284	YJR031C	0.641186
285	YOR047C	0.640406
286	YCR065W	0.640016
287	YDR310C	0.640016
288	YER040W	0.639626
289	YGR056W	0.639626
290	YHL006C	0.639626
291	YOR346W	0.638456
292	YDR131C	0.638066
293	YPR015C	0.637676
294	YBL054W	0.637676
295	YOL080C	0.637285
296	YMR182C	0.636895
297	YIL101C	0.636505
298	YLR421C	0.636115
299	YML032C	0.636115
300	YNL314W	0.634945
301	YLR142W	0.634945
302	YDR043C	0.634945
303	YDR059C	0.634165
304	YDL104C	0.633775
305	YMR216C	0.632995
306	YML095C	0.632215
307	YMR145C	0.631825
308	YGR202C	0.631435
309	YOR337W	0.630655
310	YBR107C	0.630655
311	YMR014W	0.630655
312	YOL041C	0.629875
313	YHR120W	0.627925
314	YER174C	0.627925
315	YKL166C	0.627535
316	YHR154W	0.627535
317	YMR019W	0.627535
318	YJL168C	0.627535
319	YOR209C	0.627145
320	YDL070W	0.626365
321	YLR342W	0.626365
322	YLR253W	0.626365
323	YLR234W	0.625585
324	YLR455W	0.625195
325	YBR240C	0.624415
326	YLR095C	0.624025
327	YMR048W	0.623635
328	YKL212W	0.623245
329	YMR231W	0.623245
330	YOR001W	0.622855
331	YLR445W	0.622855
332	YLL048C	0.622465
333	YDL020C	0.622075
334	YMR021C	0.622075
335	YLR278C	0.621685
336	YBR218C	0.620905
337	YFR053C	0.620515
338	YGL060W	0.620125
339	YLR074C	0.619735
340	YOL081W	0.619735
341	YIL009C-A	0.619345
342	YKL160W	0.618955
343	YPR171W	0.618565
344	YGL100W	0.618565
345	YLR376C	0.618175
346	YOR032C	0.617785
347	YGL173C	0.617395
348	YDR363W	0.617395
349	YKR058W	0.616615
350	YGR209C	0.616225
351	YER044C-A	0.616225
352	YDR098C	0.615835
353	YNL229C	0.614665
354	YPL018W	0.614275
355	YPL199C	0.613495
356	YDR213W	0.610764
357	YPR052C	0.610764
358	YIL153W	0.610374
359	YNR024W	0.609984
360	YDL013W	0.609984
361	YJR084W	0.609204
362	YER035W	0.608814
363	YPR119W	0.608424
364	YDR263C	0.608424
365	YBR217W	0.608034
366	YNL257C	0.607644
367	YDR130C	0.605694
368	YKL139W	0.605694
369	YOR304W	0.605304
370	YPL064C	0.605304
371	YER130C	0.604914
372	YBR001C	0.604524
373	YBL010C	0.604524
374	YLR262C	0.604524
375	YNL032W	0.604134
376	YDR485C	0.604134
377	YNR004W	0.603354
