rank	yeast_gene	ensemble_score
246	YBL005W	0.748440
247	YNL154C	0.747270
248	YPR119W	0.746490
249	YJL083W	0.745710
250	YMR042W	0.745710
251	YMR180C	0.745320
252	YMR261C	0.744930
253	YAL019W	0.744930
254	YOR038C	0.744150
255	YPR101W	0.743370
256	YER162C	0.742980
257	YER064C	0.742590
258	YER111C	0.741420
259	YDR143C	0.741030
260	YER139C	0.740640
261	YNR024W	0.740640
262	YNL023C	0.740250
263	YDR206W	0.739860
264	YMR294W	0.739860
265	YAL053W	0.739080
266	YOR279C	0.738690
267	YPR015C	0.738690
268	YDR253C	0.738300
269	YBR272C	0.738300
270	YGR071C	0.737520
271	YER092W	0.736739
272	YKL113C	0.736349
273	YPL192C	0.736349
274	YKR054C	0.735569
275	YDR370C	0.734789
276	YNL298W	0.734399
277	YOR213C	0.734009
278	YPL089C	0.733619
279	YMR167W	0.733229
280	YDR310C	0.733229
281	YMR312W	0.732839
282	YOL136C	0.732449
283	YLR325C	0.729329
284	YLR256W	0.728939
285	YDL171C	0.727769
286	YLR098C	0.726599
287	YDR139C	0.726209
288	YPR179C	0.725819
289	YLR319C	0.725429
290	YDR049W	0.725429
291	YAL009W	0.724649
292	YLR107W	0.723869
293	YML097C	0.723869
294	YER167W	0.723869
295	YDL135C	0.723479
296	YPL021W	0.723479
297	YDL074C	0.723479
298	YPR054W	0.720749
299	YFR010W	0.720749
300	YNL004W	0.720359
301	YMR233W	0.719579
302	YLR368W	0.718799
303	YOR358W	0.717629
304	YKL205W	0.717239
305	YCR077C	0.715679
306	YER142C	0.714899
307	YKR072C	0.714899
308	YLR384C	0.714509
309	YOR171C	0.714509
310	YBL054W	0.714119
311	YNL032W	0.714119
312	YMR199W	0.714119
313	YPR120C	0.712949
314	YHR082C	0.712168
315	YGL197W	0.711388
316	YOL082W	0.711388
317	YMR153W	0.711388
318	YDR293C	0.710218
319	YPL086C	0.709438
320	YIL038C	0.708658
321	YMR078C	0.708658
322	YLR182W	0.707488
323	YKR017C	0.706318
324	YOR042W	0.705928
325	YMR055C	0.705928
326	YPL047W	0.705538
327	YLR226W	0.705538
328	YPL179W	0.705148
329	YBR165W	0.704368
330	YML081W	0.703978
331	YOR061W	0.703588
332	YIL008W	0.702418
333	YPL166W	0.700078
334	YNR051C	0.699298
335	YPL018W	0.698518
336	YNL116W	0.698128
337	YMR216C	0.697738
338	YPL121C	0.697738
339	YPL236C	0.697348
340	YDR518W	0.696958
341	YBR175W	0.696958
342	YDR320C	0.695788
343	YDR458C	0.694618
344	YLR385C	0.693448
345	YDR358W	0.693058
346	YML082W	0.693058
347	YHR134W	0.692668
348	YDL090C	0.692278
349	YGR233C	0.691888
350	YGR097W	0.691888
351	YGL181W	0.691498
352	YGL248W	0.691108
353	YPR173C	0.689938
354	YBL063W	0.689548
355	YNL053W	0.689158
356	YPL101W	0.687988
357	YHR127W	0.686817
358	YIR001C	0.686817
359	YDR513W	0.686037
360	YGL209W	0.685647
361	YAR018C	0.685647
362	YOL028C	0.685257
363	YHR033W	0.684867
364	YGR209C	0.684867
365	YMR182C	0.683307
366	YBL002W	0.682527
367	YMR202W	0.681747
368	YBR239C	0.681357
369	YPL184C	0.679797
370	YLR421C	0.679797
371	YDR223W	0.679407
372	YCR086W	0.679017
373	YDR318W	0.677847
374	YGL060W	0.677067
375	YER169W	0.675897
376	YER123W	0.675897
377	YJR060W	0.674727
378	YNL186W	0.673947
379	YBR057C	0.673557
380	YML123C	0.671997
381	YKL101W	0.671607
382	YPL046C	0.671217
383	YIL016W	0.670827
384	YLR423C	0.670437
385	YPL248C	0.670047
386	YMR021C	0.670047
387	YML051W	0.670047
388	YLR260W	0.669657
389	YKL041W	0.669267
390	YLL013C	0.667707
391	YNL142W	0.667317
392	YNL257C	0.667317
393	YHL002W	0.666147
394	YIL122W	0.666147
395	YOR205C	0.665757
396	YBR059C	0.665757
397	YOL068C	0.665367
398	YGL213C	0.664977
399	YJL128C	0.664977
400	YMR293C	0.664587
401	YGR056W	0.664197
402	YMR173W	0.663807
403	YNL016W	0.661466
404	YOR380W	0.661076
405	YPR155C	0.661076
406	YEL061C	0.659126
407	YNL236W	0.659126
408	YBR140C	0.658346
409	YKL086W	0.657956
410	YML100W	0.657176
411	YER176W	0.656786
412	YJR066W	0.656786
413	YDL088C	0.655616
414	YKL002W	0.655226
415	YGL220W	0.654836
416	YDR466W	0.654446
417	YOR185C	0.654056
418	YMR025W	0.654056
419	YCR020C-A	0.653666
420	YLR059C	0.653276
421	YJL204C	0.653276
422	YLR119W	0.652886
423	YBR105C	0.652886
424	YGR229C	0.652496
425	YDR363W	0.652496
426	YGR202C	0.652106
427	YKL212W	0.652106
428	YCL055W	0.651326
429	YGL251C	0.650936
430	YBL009W	0.649766
431	YOR209C	0.649376
432	YPL116W	0.648596
433	YPL038W	0.647426
434	YPL213W	0.646256
435	YER105C	0.645476
436	YGL141W	0.645086
437	YDR006C	0.642746
438	YBR112C	0.642356
439	YIL017C	0.640796
440	YIL149C	0.640796
441	YNL098C	0.640796
442	YER007C-A	0.640796
443	YJL013C	0.640406
444	YIL133C	0.640016
445	YCR066W	0.640016
446	YBR201W	0.639236
447	YLR248W	0.638846
448	YBL021C	0.638066
449	YML072C	0.637285
450	YDL051W	0.636505
451	YIL128W	0.636115
452	YGL127C	0.635335
453	YDR463W	0.635335
