rank	yeast_gene	ensemble_score
246	YPR189W	0.707098
247	YML076C	0.706708
248	YKR060W	0.706318
249	YGL070C	0.705928
250	YBR186W	0.703978
251	YIL017C	0.703198
252	YNL323W	0.703198
253	YJR050W	0.702418
254	YFL014W	0.702028
255	YGR206W	0.702028
256	YBL066C	0.701638
257	YML027W	0.701638
258	YLR403W	0.700858
259	YOR027W	0.700468
260	YFL033C	0.699688
261	YLR233C	0.699688
262	YDR310C	0.699688
263	YIL084C	0.696568
264	YOR295W	0.696568
265	YOR153W	0.694228
266	YOR156C	0.693838
267	YPR075C	0.692668
268	YJR084W	0.692278
269	YKL017C	0.691888
270	YPR135W	0.691888
271	YLR098C	0.691108
272	YBR059C	0.690328
273	YPL166W	0.689158
274	YNL106C	0.687988
275	YDR006C	0.686427
276	YKL054C	0.686427
277	YDL134C	0.685647
278	YGR288W	0.685647
279	YML036W	0.684867
280	YHR134W	0.684087
281	YNL076W	0.684087
282	YGL096W	0.684087
283	YDR293C	0.683697
284	YOR209C	0.683697
285	YPR093C	0.682137
286	YLR315W	0.682137
287	YOR047C	0.680577
288	YIL149C	0.679797
289	YFL021W	0.678627
290	YNL030W	0.678627
291	YHL034C	0.678627
292	YML102W	0.676677
293	YDR285W	0.676287
294	YDR458C	0.676287
295	YPR120C	0.676287
296	YGL194C	0.675507
297	YGL060W	0.673557
298	YBR089C-A	0.672777
299	YLR148W	0.672387
300	YDR419W	0.672387
301	YOL068C	0.671217
302	YBL039C	0.670827
303	YNL068C	0.668877
304	YJR052W	0.668487
305	YMR231W	0.665757
306	YPR119W	0.665757
307	YDR121W	0.663807
308	YPR155C	0.663417
309	YNR051C	0.663417
310	YML082W	0.663027
311	YNL004W	0.662246
312	YDR069C	0.662246
313	YBL047C	0.661466
314	YKR091W	0.661076
315	YPL045W	0.659906
316	YDR253C	0.659516
317	YBR215W	0.659126
318	YOL028C	0.658346
319	YKL206C	0.657956
320	YFR014C	0.657176
321	YKL101W	0.657176
