target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	allowlist_row	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	allowlist_sha256	smiles
ADGRV1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.049213875	15	100000	0.00015999840001599985	3.334494885149084e-05	0.013271917933961923	0.004833113107459153	24	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
GPR146	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04940496	11	100000	0.00011999880001199988	2.6482773424136782e-05	0.013274859529575385	0.004746761645757269	13	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
GPR152	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.050727975	3	100000	3.999960000399996e-05	-1.3670630860974313e-05	0.013290890865583578	0.004186874237678051	31	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
GPR176	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.049237635	13	100000	0.00013999860001399987	2.538883233495099e-05	0.013270174253536665	0.004815355619867456	37	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
GPR82	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.051125634	9	100000	9.99990000099999e-05	2.3108283269095012e-05	0.013254491591577171	0.003989582967359628	5	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
HTR2A	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.04974058	5	100000	5.999940000599994e-05	-1.627150526893967e-05	0.013338770626167224	0.004683152230732235	32	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
ITPR2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.048731882	16	100000	0.00016999830001699983	2.1364384554318006e-05	0.013282828607616586	0.005076669089070673	35	0.00016999830001699983	0.0007273450431687522	0.005174728276462814	0.022140297645647206	0.00016999830001699983	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
ITPR3	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.049148474	15	100000	0.00015999840001599985	2.507889947299665e-05	0.013284421125309196	0.004881515705651207	14	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
KCNH8	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.049802206	5	100000	5.999940000599994e-05	-1.6928148076502792e-05	0.013334801575696456	0.0046486377972758675	34	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR10A7	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.048712157	13	100000	0.00013999860001399987	2.275977879509284e-05	0.013279467699793551	0.00508097260469853	23	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.048886847	12	100000	0.00012999870001299986	2.62789022786302e-05	0.013282753957559576	0.005003697280445252	25	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G4	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.049480084	10	100000	0.00010999890001099989	2.5223543856047286e-05	0.013283740620402931	0.004726983431734166	7	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G7	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04940112	11	100000	0.00011999880001199988	2.6328451003672057e-05	0.01328441549970002	0.004764731826899848	10	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G9	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.0495182	10	100000	0.00010999890001099989	2.4099657233997363e-05	0.013285793827598853	0.004712620968030268	8	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR12D2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.048654426	16	100000	0.00016999830001699983	1.6392770088991285e-05	0.013271149519703661	0.005091202269313588	26	0.00016999830001699983	0.0007273450431687522	0.005174728276462814	0.022140297645647206	0.00016999830001699983	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR14I1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04950833	11	100000	0.00011999880001199988	2.3144890493451022e-05	0.013279022103365139	0.004705220644367181	9	0.0001684193684378946	0.0007205895164520146	0.005174728276462814	0.022140297645647206	0.0001684193684378946	BH	40	a487e70b18ba457be014ebdb7512677dd0b6e6a9627c4f1e4dfebf7eca705635	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
