target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	allowlist_row	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	allowlist_sha256	smiles
ITPR2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.0425064	9	10000	0.000999900009999	-1.9411758102106093e-05	0.013391024775716298	0.009514113549197734	15	0.0010998900109989002	0.0037831294619586385	0.01019001304346312	0.0350490850693858	0.0010998900109989002	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
ITPR3	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.046094712	3	10000	0.00039996000399960006	1.7285550435371986e-05	0.013420150090719516	0.006845115922539335	8	0.0007554800075548001	0.002598513165789772	0.01019001304346312	0.0350490850693858	0.0007554800075548001	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G4	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.0444601	4	10000	0.0004999500049995	5.548322183892651e-06	0.013378618193446608	0.00788466852801517	3	0.0007726500077265	0.0026575702831940847	0.01019001304346312	0.0350490850693858	0.0007726500077265	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G7	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04572658	3	10000	0.00039996000399960006	1.0393829088957317e-05	0.013394715218146192	0.007026378591483584	5	0.0007554800075548001	0.002598513165789772	0.01019001304346312	0.0350490850693858	0.0007554800075548001	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR10G9	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.045760162	2	10000	0.00029997000299970003	2.0649027095578275e-05	0.013388577583683175	0.0069967443385746675	4	0.0007554800075548001	0.002598513165789772	0.01019001304346312	0.0350490850693858	0.0007554800075548001	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR12D2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04559463	3	10000	0.00039996000399960006	3.974678447787028e-06	0.013407204262092586	0.007139911078482664	13	0.0007554800075548001	0.002598513165789772	0.01019001304346312	0.0350490850693858	0.0007554800075548001	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR1E1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04660947	2	10000	0.00029997000299970003	1.7606330322905707e-05	0.013377624444819308	0.006426480994456418	2	0.0007554800075548001	0.002598513165789772	0.01019001304346312	0.0350490850693858	0.0007554800075548001	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR1E2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.042616032	9	10000	0.000999900009999	-4.846320495232704e-07	0.01341876894162161	0.009511763143907781	1	0.0010998900109989002	0.0037831294619586385	0.01019001304346312	0.0350490850693858	0.0010998900109989002	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR2W3	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04206814	10	10000	0.0010998900109989002	4.205721513721983e-06	0.013422147364735506	0.010035137337710887	14	0.0010998900109989002	0.0037831294619586385	0.01019001304346312	0.0350490850693858	0.0010998900109989002	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR4D2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04389277	8	10000	0.0008999100089991	9.233559542826697e-06	0.013360023764372984	0.008278050920330848	9	0.0010998900109989002	0.0037831294619586385	0.01019001304346312	0.0350490850693858	0.0010998900109989002	BH	17	d52fde573b8bd110d830d4599f7318735b8c6c39750d66a0e9582cf9d56c7e1f	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
