rank	yeast_gene	ensemble_score
217	YDR335W	-0.593018639
218	YKR060W	-0.593018640
219	YNL016W	-0.593018641
220	YOR251C	-0.593018642
221	YLR389C	-0.593018643
222	YPL184C	-0.593018644
223	YHR006W	-0.593018645
224	YNL159C	-0.593018646
225	YLR247C	-0.593018647
226	YNL106C	-0.593018648
227	YIL095W	-0.593018649
228	YPR046W	-0.593018650
229	YNL023C	-0.593018651
230	YPL121C	-0.593018652
231	YNL242W	-0.593018653
232	YMR247C	-0.593018654
233	YOR058C	-0.593018655
234	YIR019C	-0.593018656
235	YGL237C	-0.593018657
236	YMR209C	-0.593018658
237	YKL116C	-0.593018659
238	YHR003C	-0.593018660
239	YLL048C	-0.593018661
240	YLR119W	-0.593018662
241	YBR107C	-0.593018663
242	YML013W	-0.593018664
243	YLR021W	-0.593018665
244	YDR247W	-0.593018666
245	YHL002W	-0.593018667
246	YDR273W	-0.593018668
247	YDR080W	-0.593018669
248	YLR431C	-0.593018670
249	YLL022C	-0.593018671
250	YLR043C	-0.593018672
251	YER164W	-0.593018673
252	YKL038W	-0.593018674
253	YML109W	-0.593018675
254	YDR074W	-0.593018676
255	YBL007C	-0.593018677
256	YLR438W	-0.593018678
257	YML075C	-0.593018679
258	YGL180W	-0.593018680
259	YKR023W	-0.593018681
260	YLR394W	-0.593018682
261	YIL107C	-0.593018683
262	YBR212W	-0.593018684
263	YMR258C	-0.593018685
264	YGL110C	-0.593018686
265	YGL115W	-0.593018687
266	YAL002W	-0.593018688
267	YDL077C	-0.593018689
268	YDR265W	-0.593018690
269	YML088W	-0.593018691
270	YOR042W	-0.593018692
271	YFR010W	-0.593018693
272	YBL057C	-0.593018694
273	YGR135W	-0.593018695
274	YMR139W	-0.593018696
275	YOR358W	-0.593018697
276	YHR193C	-0.593018698
277	YHR178W	-0.593018699
278	YIL008W	-0.593018700
279	YGL244W	-0.593018701
280	YNL186W	-0.593018702
281	YPL116W	-0.593018703
282	YOR243C	-0.593018704
283	YLR453C	-0.593018705
284	YPL084W	-0.593018706
