signature_id	label	split_group	rr_comparator_best_single	rr_nested_fusion
NORMAN::MAPK1	GO:0012501	PGC_fe2c36c93531	0.07692307692307693	0.058823529411764705
NORMAN::MAPK1+PRTG	GO:0012501	PGC_fe2c36c93531	0.058823529411764705	0.058823529411764705
NORMAN::MAPK1+TGFBR2	GO:0012501	PGC_fe2c36c93531	0.06666666666666667	0.0625
NORMAN::MEIS1	GO:0030154	PGC_fe2c36c93531	0.058823529411764705	0.07142857142857142
NORMAN::MIDN	GO:0030163	PGC_c340af095107	0.16666666666666666	0.5
NORMAN::NCL	GO:0016071	PGC_2187c01b6044	0.2	0.14285714285714285
NORMAN::NIT1	GO:0006575	PGC_831be460e59b	0.25	0.1
NORMAN::OSR2	GO:0030154	PGC_fe2c36c93531	0.058823529411764705	0.07692307692307693
NORMAN::OSR2+PTPN12	GO:0048856	PGC_fe2c36c93531	0.0	0.0
NORMAN::OSR2+UBASH3B	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::PLK4	GO:0007010	PGC_4a58b6c96fd2	0.3333333333333333	0.1111111111111111
NORMAN::PLK4+STIL	GO:0007010	PGC_4a58b6c96fd2	0.08333333333333333	0.07142857142857142
NORMAN::POU3F2	GO:0030154	PGC_fe2c36c93531	0.058823529411764705	0.08333333333333333
NORMAN::PRDM1	GO:0006355	PGC_fe2c36c93531	1.0	1.0
NORMAN::PRTG	GO:0007155	PGC_fe2c36c93531	0.05263157894736842	0.05263157894736842
NORMAN::PRTG+TGFBR2	GO:0007155	PGC_fe2c36c93531	0.08333333333333333	0.05555555555555555
NORMAN::PTPN1	GO:0007010	PGC_2e8d5f876564	0.25	0.06666666666666667
NORMAN::PTPN12	GO:0048856	PGC_fe2c36c93531	0.0	0.0
NORMAN::PTPN12+PTPN9	GO:0023052	PGC_fe2c36c93531	0.2	0.14285714285714285
NORMAN::PTPN12+SAMD1	GO:0065003	PGC_fe2c36c93531	0.14285714285714285	0.07692307692307693
NORMAN::PTPN12+SNAI1	GO:0030154	PGC_fe2c36c93531	0.058823529411764705	0.16666666666666666
NORMAN::PTPN12+UBASH3B	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::PTPN12+ZBTB10	GO:0006355	PGC_fe2c36c93531	1.0	1.0
NORMAN::PTPN12+ZBTB25	GO:0006355	PGC_fe2c36c93531	1.0	1.0
NORMAN::PTPN9	GO:0023052	PGC_fe2c36c93531	0.16666666666666666	0.5
NORMAN::PTPN9+UBASH3B	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::RREB1	GO:0006351	PGC_131a44ad4a21	0.06666666666666667	0.3333333333333333
NORMAN::RUNX1T1	GO:0006355	PGC_fe2c36c93531	0.1111111111111111	0.125
NORMAN::S1PR2	GO:0007010	PGC_920b2cd99e40	0.14285714285714285	0.058823529411764705
NORMAN::S1PR2+SGK1	GO:0023052	PGC_920b2cd99e40	0.16666666666666666	0.14285714285714285
NORMAN::SAMD1	GO:0065003	PGC_fe2c36c93531	0.07692307692307693	0.07142857142857142
NORMAN::SAMD1+TGFBR2	GO:0012501	PGC_fe2c36c93531	0.05263157894736842	0.058823529411764705
NORMAN::SAMD1+UBASH3B	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::SAMD1+ZBTB1	GO:0065003	PGC_fe2c36c93531	0.1	0.09090909090909091
NORMAN::SET	GO:0006260	PGC_fe2c36c93531	0.3333333333333333	0.1
NORMAN::SGK1	GO:0023052	PGC_920b2cd99e40	0.5	0.5
NORMAN::SGK1+TBX2	GO:0048856	PGC_920b2cd99e40	0.0	0.0
NORMAN::SGK1+TBX3	GO:0030154	PGC_920b2cd99e40	0.09090909090909091	0.06666666666666667
NORMAN::SLC38A2	GO:0055085	PGC_fe2c36c93531	1.0	0.5
NORMAN::SLC4A1	GO:0055085	PGC_3df1fe359493	0.07142857142857142	0.08333333333333333
NORMAN::SLC6A9	GO:0055085	PGC_1d62d2d0b638	0.2	0.3333333333333333
NORMAN::SNAI1	GO:0030154	PGC_fe2c36c93531	0.058823529411764705	0.09090909090909091
NORMAN::SNAI1+UBASH3B	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::SNAI1+ZBTB10	GO:0006355	PGC_fe2c36c93531	1.0	1.0
NORMAN::SPI1	GO:0006351	PGC_fe2c36c93531	1.0	0.3333333333333333
NORMAN::STIL	GO:0000278	PGC_4a58b6c96fd2	0.07692307692307693	0.07692307692307693
NORMAN::TBX2	GO:0006355	PGC_920b2cd99e40	1.0	0.5
NORMAN::TBX2+TBX3	GO:0006355	PGC_920b2cd99e40	1.0	1.0
NORMAN::TBX3	GO:0006355	PGC_920b2cd99e40	1.0	1.0
NORMAN::TGFBR2	GO:0012501	PGC_fe2c36c93531	0.05263157894736842	0.0625
NORMAN::TMSB4X	GO:0023052	PGC_fe2c36c93531	0.14285714285714285	0.2
NORMAN::TP73	GO:0012501	PGC_ad4fdee14bf0	0.05263157894736842	0.058823529411764705
NORMAN::TSC22D1	GO:0006351	PGC_b30a17a922cd	0.3333333333333333	0.5
NORMAN::UBASH3B	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::UBASH3B+ZBTB25	GO:0042060	PGC_fe2c36c93531	0.0	0.0
NORMAN::ZBTB1	GO:0006260	PGC_fe2c36c93531	0.1	0.07142857142857142
NORMAN::ZBTB10	GO:0006355	PGC_fe2c36c93531	1.0	1.0
NORMAN::ZBTB25	GO:0006355	PGC_fe2c36c93531	1.0	0.5
NORMAN::ZNF318	GO:0006355	PGC_fe2c36c93531	1.0	0.5
