signature_id	label	split_group	official_test	rr_comparator_best_single	rr_nested_fusion
NORMAN::AHR	GO:0012501	PGC_fe2c36c93531	False	1.0	0.1
NORMAN::AHR+FEV	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::AHR+KLF1	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::ARID1A	GO:0006325	PGC_3a479130f73b	False	0.3333333333333333	0.125
NORMAN::ATL1	GO:0061024	PGC_ee5b8ee6378e	True	0.0	0.0
NORMAN::BAK1	GO:0012501	PGC_fe2c36c93531	False	0.5	0.09090909090909091
NORMAN::BAK1+BCL2L11	GO:0012501	PGC_fe2c36c93531	False	0.5	0.07692307692307693
NORMAN::BAK1+KLF1	GO:0012501	PGC_fe2c36c93531	False	0.5	0.07692307692307693
NORMAN::BAK1+TMSB4X	GO:0012501	PGC_fe2c36c93531	False	0.09090909090909091	0.05263157894736842
NORMAN::BCL2L11	GO:0012501	PGC_fe2c36c93531	False	1.0	0.058823529411764705
NORMAN::BCL2L11+TGFBR2	GO:0012501	PGC_fe2c36c93531	False	0.5	0.0625
NORMAN::BCORL1	GO:0006325	PGC_ddd2a2790f36	False	0.5	0.16666666666666666
NORMAN::BPGM	GO:0005975	PGC_fe2c36c93531	False	0.058823529411764705	0.07692307692307693
NORMAN::BPGM+SAMD1	GO:0005975	PGC_fe2c36c93531	False	0.06666666666666667	0.07142857142857142
NORMAN::BPGM+ZBTB1	GO:0006260	PGC_fe2c36c93531	False	0.05555555555555555	0.125
NORMAN::CBFA2T3	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::CBFA2T3+FEV	GO:0030154	PGC_fe2c36c93531	False	0.09090909090909091	0.058823529411764705
NORMAN::CBFA2T3+POU3F2	GO:0030154	PGC_fe2c36c93531	False	0.14285714285714285	0.07142857142857142
NORMAN::CBFA2T3+PRDM1	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::CBL	GO:0030163	PGC_fe2c36c93531	False	0.058823529411764705	0.25
NORMAN::CBL+CNN1	GO:0030163	PGC_fe2c36c93531	False	0.07692307692307693	0.16666666666666666
NORMAN::CBL+PTPN12	GO:0030163	PGC_fe2c36c93531	False	0.0625	0.3333333333333333
NORMAN::CBL+PTPN9	GO:0030163	PGC_fe2c36c93531	False	0.058823529411764705	0.25
NORMAN::CBL+TGFBR2	GO:0012501	PGC_fe2c36c93531	False	0.16666666666666666	0.058823529411764705
NORMAN::CBL+UBASH3B	GO:0030163	PGC_fe2c36c93531	False	0.06666666666666667	0.5
NORMAN::CDKN1A	GO:0006913	PGC_d7e89572d1a8	False	0.1	0.1
NORMAN::CDKN1A+CDKN1B	GO:0006913	PGC_d7e89572d1a8	False	0.1111111111111111	0.09090909090909091
NORMAN::CDKN1B	GO:0012501	PGC_d7e89572d1a8	False	0.05263157894736842	0.0625
NORMAN::CEBPA	GO:0006351	PGC_fe2c36c93531	False	0.07692307692307693	0.16666666666666666
NORMAN::CEBPA+CEBPB	GO:0006351	PGC_fe2c36c93531	False	0.06666666666666667	0.2
NORMAN::CEBPA+CEBPE	GO:0006351	PGC_fe2c36c93531	False	0.07692307692307693	0.2
NORMAN::CEBPA+JUN	GO:0006355	PGC_fe2c36c93531	False	0.1111111111111111	0.3333333333333333
NORMAN::CEBPA+KLF1	GO:0006355	PGC_fe2c36c93531	False	0.14285714285714285	1.0
NORMAN::CEBPB	GO:0012501	PGC_fe2c36c93531	False	0.25	0.07692307692307693
NORMAN::CEBPB+CEBPE	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::CEBPB+FOSB	GO:0006355	PGC_fe2c36c93531	False	0.25	0.5
NORMAN::CEBPB+JUN	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::CEBPB+LYL1	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::CEBPB+MAPK1	GO:0012501	PGC_fe2c36c93531	False	0.3333333333333333	0.09090909090909091
NORMAN::CEBPB+OSR2	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::CEBPB+PTPN12	GO:0012501	PGC_fe2c36c93531	False	0.09090909090909091	0.0625
NORMAN::CEBPE	GO:0030154	PGC_fe2c36c93531	False	0.16666666666666666	0.07142857142857142
NORMAN::CEBPE+CNN1	GO:0030154	PGC_fe2c36c93531	False	0.0625	0.07142857142857142
NORMAN::CEBPE+ETS2	GO:0030154	PGC_fe2c36c93531	False	0.058823529411764705	0.05263157894736842
NORMAN::CEBPE+FOSB	GO:0006355	PGC_fe2c36c93531	False	0.25	0.5
NORMAN::CEBPE+KLF1	GO:0030154	PGC_fe2c36c93531	False	0.08333333333333333	0.05263157894736842
NORMAN::CEBPE+PTPN12	GO:0030154	PGC_fe2c36c93531	False	0.2	0.07142857142857142
NORMAN::CEBPE+RUNX1T1	GO:0006355	PGC_fe2c36c93531	False	0.3333333333333333	1.0
NORMAN::CEBPE+SET	GO:0006355	PGC_fe2c36c93531	False	0.2	1.0
NORMAN::CEBPE+SPI1	GO:0030154	PGC_fe2c36c93531	False	0.16666666666666666	0.07142857142857142
NORMAN::CELF2	GO:0016071	PGC_03b9bb35a509	False	1.0	0.25
NORMAN::CITED1	GO:0006913	PGC_878d12317fd0	False	0.16666666666666666	0.16666666666666666
NORMAN::CKS1B	GO:0000278	PGC_80f8570613ec	False	0.2	0.08333333333333333
NORMAN::CLDN6	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::CLDN6+KLF1	GO:0030163	PGC_fe2c36c93531	False	0.08333333333333333	0.25
NORMAN::CNN1	GO:0007010	PGC_fe2c36c93531	False	0.16666666666666666	0.08333333333333333
NORMAN::CNN1+ETS2	GO:0006355	PGC_fe2c36c93531	False	0.14285714285714285	1.0
NORMAN::CNN1+MAPK1	GO:0012501	PGC_fe2c36c93531	False	0.07692307692307693	0.05555555555555555
NORMAN::CNN1+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::CNNM4	GO:0055085	PGC_1898a504ec41	True	0.0625	0.09090909090909091
NORMAN::COL1A1	GO:0006355	PGC_5c48379dc317	False	1.0	1.0
NORMAN::COL2A1	GO:0030154	PGC_fe2c36c93531	False	0.1111111111111111	0.07142857142857142
NORMAN::COL2A1+KLF1	GO:0030154	PGC_fe2c36c93531	False	0.125	0.09090909090909091
NORMAN::CSRNP1	GO:0012501	PGC_7824cf6abf41	False	0.05555555555555555	0.0625
NORMAN::DLX2	GO:0030154	PGC_fe2c36c93531	False	0.5	0.125
NORMAN::DLX2+SNAI1	GO:0030154	PGC_fe2c36c93531	False	1.0	0.16666666666666666
NORMAN::DLX2+ZBTB10	GO:0006355	PGC_fe2c36c93531	False	0.3333333333333333	1.0
NORMAN::DUSP9	GO:0023052	PGC_fe2c36c93531	False	0.16666666666666666	0.1111111111111111
NORMAN::DUSP9+ETS2	GO:0006355	PGC_fe2c36c93531	False	0.16666666666666666	0.3333333333333333
NORMAN::DUSP9+IGDCC3	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::DUSP9+KLF1	GO:0030163	PGC_fe2c36c93531	False	0.07692307692307693	0.2
NORMAN::DUSP9+MAPK1	GO:0012501	PGC_fe2c36c93531	False	0.07142857142857142	0.0625
NORMAN::DUSP9+PRTG	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::DUSP9+SNAI1	GO:0023052	PGC_fe2c36c93531	False	0.14285714285714285	0.1
NORMAN::EGR1	GO:0006355	PGC_7671d4341ced	True	0.5	1.0
NORMAN::ETS2	GO:0006355	PGC_fe2c36c93531	False	0.1	0.5
NORMAN::ETS2+IGDCC3	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::ETS2+IKZF3	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::ETS2+MAP7D1	GO:0007010	PGC_fe2c36c93531	False	0.2	0.0625
NORMAN::ETS2+MAPK1	GO:0012501	PGC_fe2c36c93531	False	0.1	0.07142857142857142
NORMAN::ETS2+PRTG	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::ETS2+TGFBR2	GO:0012501	PGC_fe2c36c93531	False	0.1	0.058823529411764705
NORMAN::FEV	GO:0030154	PGC_fe2c36c93531	False	0.058823529411764705	0.05263157894736842
NORMAN::FEV+ISL2	GO:0030154	PGC_fe2c36c93531	False	0.058823529411764705	0.058823529411764705
NORMAN::FEV+MAP7D1	GO:0007010	PGC_fe2c36c93531	False	0.5	0.14285714285714285
NORMAN::FOSB	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::FOSB+IKZF3	GO:0006355	PGC_fe2c36c93531	False	0.2	1.0
NORMAN::FOSB+OSR2	GO:0006355	PGC_fe2c36c93531	False	0.3333333333333333	1.0
NORMAN::FOSB+PTPN12	GO:0006355	PGC_fe2c36c93531	False	0.2	1.0
NORMAN::FOSB+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::FOXA1	GO:0006325	PGC_fe2c36c93531	False	0.1111111111111111	0.5
NORMAN::FOXA1+FOXA3	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::FOXA1+FOXF1	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::FOXA1+FOXL2	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::FOXA1+HOXB9	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::FOXA1+KLF1	GO:0006355	PGC_fe2c36c93531	False	0.2	0.5
NORMAN::FOXA3	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::FOXA3+FOXF1	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::FOXA3+FOXL2	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::FOXA3+HOXB9	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::FOXF1	GO:0006355	PGC_fe2c36c93531	False	0.09090909090909091	1.0
NORMAN::FOXF1+FOXL2	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::FOXF1+HOXB9	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::FOXL2	GO:0012501	PGC_fe2c36c93531	False	0.3333333333333333	0.08333333333333333
NORMAN::FOXL2+HOXB9	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::FOXL2+MEIS1	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::FOXL2+POU3F2	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::FOXL2+ZNF318	GO:0006355	PGC_fe2c36c93531	False	0.16666666666666666	1.0
NORMAN::FOXO4	GO:0030154	PGC_a01a9a86ce80	False	0.05263157894736842	0.07142857142857142
NORMAN::GLB1L2	GO:0005975	PGC_e6e798543561	True	0.09090909090909091	0.07142857142857142
NORMAN::HES7	GO:0006355	PGC_7c3d654d96c2	False	0.5	1.0
NORMAN::HK2	GO:0007005	PGC_9f5e04bdfcfc	False	0.14285714285714285	0.07692307692307693
NORMAN::HNF4A	GO:0042060	PGC_bb4be43d265c	False	0.0	0.0
NORMAN::HOXA13	GO:0048856	PGC_b462a86313a6	True	0.0	0.0
NORMAN::HOXB9	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::HOXC13	GO:0006355	PGC_fe2c36c93531	False	0.3333333333333333	1.0
NORMAN::IGDCC3	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::IGDCC3+MAPK1	GO:0012501	PGC_fe2c36c93531	False	0.1	0.0625
NORMAN::IGDCC3+PRTG	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::IGDCC3+TGFBR2	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::IGDCC3+ZBTB25	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::IKZF3	GO:0006355	PGC_fe2c36c93531	False	0.2	1.0
NORMAN::IKZF3+MAP2K3	GO:0006355	PGC_fe2c36c93531	False	0.2	1.0
NORMAN::IKZF3+MAP2K6	GO:0048856	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::IKZF3+MAPK1	GO:0012501	PGC_fe2c36c93531	False	1.0	0.08333333333333333
NORMAN::IRF1	GO:0012501	PGC_fe2c36c93531	False	0.3333333333333333	0.1111111111111111
NORMAN::IRF1+SET	GO:0012501	PGC_fe2c36c93531	False	0.09090909090909091	0.05555555555555555
NORMAN::ISL2	GO:0030154	PGC_fe2c36c93531	False	0.16666666666666666	0.1111111111111111
NORMAN::JUN	GO:0006355	PGC_fe2c36c93531	False	0.09090909090909091	0.5
NORMAN::KIF18B	GO:0000278	PGC_91edece0b99a	False	0.25	0.14285714285714285
NORMAN::KIF18B+KIF2C	GO:0140014	PGC_91edece0b99a	False	0.2	0.058823529411764705
NORMAN::KIF2C	GO:0140014	PGC_91edece0b99a	False	0.058823529411764705	0.06666666666666667
NORMAN::KLF1	GO:0030163	PGC_fe2c36c93531	False	0.058823529411764705	0.25
NORMAN::KLF1+MAP2K6	GO:0030154	PGC_fe2c36c93531	False	0.0625	0.05263157894736842
NORMAN::KLF1+SET	GO:0006355	PGC_fe2c36c93531	False	0.14285714285714285	1.0
NORMAN::KLF1+TGFBR2	GO:0030154	PGC_fe2c36c93531	False	0.0625	0.058823529411764705
NORMAN::KMT2A	GO:0065003	PGC_0f120e5e22dc	False	0.05555555555555555	0.07692307692307693
NORMAN::LHX1	GO:0006351	PGC_876089eadb37	True	0.2	0.25
NORMAN::LYL1	GO:0006355	PGC_fe2c36c93531	False	0.1	1.0
NORMAN::MAML2	GO:0006355	PGC_80b209475e1e	True	0.16666666666666666	1.0
NORMAN::MAP2K3	GO:0006355	PGC_fe2c36c93531	False	1.0	1.0
NORMAN::MAP2K3+MAP2K6	GO:0023052	PGC_fe2c36c93531	False	0.1	0.1111111111111111
NORMAN::MAP2K3+SLC38A2	GO:0055085	PGC_fe2c36c93531	False	0.2	0.07142857142857142
NORMAN::MAP2K6	GO:0023052	PGC_fe2c36c93531	False	0.1111111111111111	0.125
NORMAN::MAP2K6+SPI1	GO:0030154	PGC_fe2c36c93531	False	0.25	0.08333333333333333
NORMAN::MAP4K3	GO:0023052	PGC_b2e28727c393	True	1.0	0.5
NORMAN::MAP4K5	GO:0023052	PGC_4480eb687560	False	0.3333333333333333	0.2
NORMAN::MAP7D1	GO:0007010	PGC_fe2c36c93531	False	0.2	0.125
NORMAN::MAPK1	GO:0012501	PGC_fe2c36c93531	False	0.1111111111111111	0.07692307692307693
NORMAN::MAPK1+PRTG	GO:0012501	PGC_fe2c36c93531	False	0.1111111111111111	0.05555555555555555
NORMAN::MAPK1+TGFBR2	GO:0012501	PGC_fe2c36c93531	False	0.1111111111111111	0.07142857142857142
NORMAN::MEIS1	GO:0030154	PGC_fe2c36c93531	False	0.0625	0.0625
NORMAN::MIDN	GO:0030163	PGC_c340af095107	False	0.09090909090909091	0.07142857142857142
NORMAN::NCL	GO:0016071	PGC_2187c01b6044	True	0.16666666666666666	0.125
NORMAN::NIT1	GO:0006575	PGC_831be460e59b	False	0.05555555555555555	0.05263157894736842
NORMAN::OSR2	GO:0030154	PGC_fe2c36c93531	False	0.1	0.058823529411764705
NORMAN::OSR2+PTPN12	GO:0048856	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::OSR2+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::PLK4	GO:0007010	PGC_4a58b6c96fd2	False	0.0625	0.07142857142857142
NORMAN::PLK4+STIL	GO:0007010	PGC_4a58b6c96fd2	False	0.0625	0.06666666666666667
NORMAN::POU3F2	GO:0030154	PGC_fe2c36c93531	False	0.14285714285714285	0.07692307692307693
NORMAN::PRDM1	GO:0006355	PGC_fe2c36c93531	False	0.14285714285714285	0.5
NORMAN::PRTG	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::PRTG+TGFBR2	GO:0007155	PGC_fe2c36c93531	False	0.05263157894736842	0.05263157894736842
NORMAN::PTPN1	GO:0007010	PGC_2e8d5f876564	True	0.09090909090909091	0.06666666666666667
NORMAN::PTPN12	GO:0048856	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::PTPN12+PTPN9	GO:0023052	PGC_fe2c36c93531	False	0.07142857142857142	0.14285714285714285
NORMAN::PTPN12+SAMD1	GO:0065003	PGC_fe2c36c93531	False	0.058823529411764705	0.06666666666666667
NORMAN::PTPN12+SNAI1	GO:0030154	PGC_fe2c36c93531	False	0.07142857142857142	0.06666666666666667
NORMAN::PTPN12+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::PTPN12+ZBTB10	GO:0006355	PGC_fe2c36c93531	False	0.3333333333333333	1.0
NORMAN::PTPN12+ZBTB25	GO:0006355	PGC_fe2c36c93531	False	0.1111111111111111	1.0
NORMAN::PTPN9	GO:0023052	PGC_fe2c36c93531	False	0.07142857142857142	0.25
NORMAN::PTPN9+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::RREB1	GO:0006351	PGC_131a44ad4a21	True	0.25	0.5
NORMAN::RUNX1T1	GO:0006355	PGC_fe2c36c93531	False	0.16666666666666666	1.0
NORMAN::S1PR2	GO:0007010	PGC_920b2cd99e40	False	0.06666666666666667	0.0625
NORMAN::S1PR2+SGK1	GO:0023052	PGC_920b2cd99e40	False	0.2	0.25
NORMAN::SAMD1	GO:0065003	PGC_fe2c36c93531	False	0.058823529411764705	0.06666666666666667
NORMAN::SAMD1+TGFBR2	GO:0012501	PGC_fe2c36c93531	False	0.14285714285714285	0.05263157894736842
NORMAN::SAMD1+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::SAMD1+ZBTB1	GO:0065003	PGC_fe2c36c93531	False	0.07692307692307693	0.06666666666666667
NORMAN::SET	GO:0006260	PGC_fe2c36c93531	False	0.05555555555555555	0.09090909090909091
NORMAN::SGK1	GO:0023052	PGC_920b2cd99e40	False	0.14285714285714285	0.1
NORMAN::SGK1+TBX2	GO:0048856	PGC_920b2cd99e40	False	0.0	0.0
NORMAN::SGK1+TBX3	GO:0030154	PGC_920b2cd99e40	False	0.058823529411764705	0.07142857142857142
NORMAN::SLC38A2	GO:0055085	PGC_fe2c36c93531	False	0.25	0.07142857142857142
NORMAN::SLC4A1	GO:0055085	PGC_3df1fe359493	False	0.058823529411764705	0.06666666666666667
NORMAN::SLC6A9	GO:0055085	PGC_1d62d2d0b638	False	0.0625	0.2
NORMAN::SNAI1	GO:0030154	PGC_fe2c36c93531	False	0.14285714285714285	0.08333333333333333
NORMAN::SNAI1+UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::SNAI1+ZBTB10	GO:0006355	PGC_fe2c36c93531	False	0.3333333333333333	1.0
NORMAN::SPI1	GO:0006351	PGC_fe2c36c93531	False	0.125	0.14285714285714285
NORMAN::STIL	GO:0000278	PGC_4a58b6c96fd2	False	0.3333333333333333	0.2
NORMAN::TBX2	GO:0006355	PGC_920b2cd99e40	False	0.2	1.0
NORMAN::TBX2+TBX3	GO:0006355	PGC_920b2cd99e40	False	0.16666666666666666	1.0
NORMAN::TBX3	GO:0006355	PGC_920b2cd99e40	False	0.2	0.5
NORMAN::TGFBR2	GO:0012501	PGC_fe2c36c93531	False	1.0	0.0625
NORMAN::TMSB4X	GO:0023052	PGC_fe2c36c93531	False	0.2	0.125
NORMAN::TP73	GO:0012501	PGC_ad4fdee14bf0	False	0.1	0.06666666666666667
NORMAN::TSC22D1	GO:0006351	PGC_b30a17a922cd	False	0.3333333333333333	0.5
NORMAN::UBASH3B	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::UBASH3B+ZBTB25	GO:0042060	PGC_fe2c36c93531	False	0.0	0.0
NORMAN::ZBTB1	GO:0006260	PGC_fe2c36c93531	False	0.05555555555555555	0.06666666666666667
NORMAN::ZBTB10	GO:0006355	PGC_fe2c36c93531	False	0.25	1.0
NORMAN::ZBTB25	GO:0006355	PGC_fe2c36c93531	False	0.5	1.0
NORMAN::ZNF318	GO:0006355	PGC_fe2c36c93531	False	0.1111111111111111	1.0
