target	Mt_terms	obs_H	obs_J	obs_F	hit_H	hit_J	hit_F	j_gated
MCU	GO:0019722|GO:0034220|GO:0070588|GO:0098655|GO:0141124	0.024137643755953498	0.02529822128134703	0.024137643755953498	0.06	0.06	0.06	False
MFSD8	GO:0034220	0.0	0.011547005383792518	0.0	0.0	0.02	0.0	False
TRPM4	GO:0019722|GO:0034220|GO:0070588|GO:0098655|GO:0098739|GO:0141124	0.009428090415820637	0.023366558916994153	0.009428090415820637	0.02	0.08	0.02	False
LRRC8C	GO:0003333|GO:0034220|GO:0098739|GO:1905039	0.004472135954999579	0.0	0.004472135954999579	0.02	0.0	0.02	False
PIEZO1	GO:0034220|GO:0098655	0.0	0.0	0.0	0.0	0.0	0.0	False
P2RX5	GO:0034220|GO:0070588|GO:0098655	0.0	0.0	0.0	0.0	0.0	0.0	False
ORAI1	GO:0007186|GO:0019722|GO:0034220|GO:0070588|GO:0098655|GO:0141124	0.005773502691896258	0.019711971193069777	0.005773502691896258	0.02	0.06	0.02	False
CCDC51	GO:0034220|GO:0071805|GO:0098655	0.0	0.016329931618554522	0.0	0.0	0.02	0.0	False
ASIC4	GO:0034220|GO:0098655	0.036329931618554516	0.0	0.036329931618554516	0.04	0.0	0.04	False
TRPM7	GO:0034220|GO:0070588|GO:0098655	0.0	0.0	0.0	0.0	0.0	0.0	False
PANX1	GO:0034220|GO:0070588|GO:0098655	0.0	0.0	0.0	0.0	0.0	0.0	False
CLCC1	GO:0034220	0.0	0.011547005383792518	0.0	0.0	0.02	0.0	False
ORAI2	GO:0034220|GO:0070588|GO:0098655	0.008728715609439695	0.0	0.008728715609439695	0.02	0.0	0.02	False
P2RX4	GO:0019722|GO:0034220|GO:0070588|GO:0098655|GO:0141124	0.006324555320336758	0.013979439306587554	0.006324555320336758	0.02	0.04	0.02	False
GABRG3	GO:0034220	0.0	0.0	0.0	0.0	0.0	0.0	False
ORAI3	GO:0034220|GO:0070588|GO:0098655	0.026666666666666675	0.013333333333333338	0.026666666666666675	0.04	0.02	0.04	False
TMEM175	GO:0034220|GO:0071805|GO:0098655|GO:1902600	0.0	0.0	0.0	0.0	0.0	0.0	False
TMEM109	GO:0034220|GO:0098655	0.0	0.0	0.0	0.0	0.0	0.0	False
SLC26A6	GO:0007186|GO:0034219|GO:0034220	0.011547005383792518	0.0	0.011547005383792518	0.02	0.0	0.02	False
MCOLN1	GO:0019722|GO:0034220|GO:0070588|GO:0071805|GO:0098655|GO:0141124	0.01287901101718758	0.005773502691896258	0.01287901101718758	0.04	0.02	0.04	False
PACC1	GO:0034220	0.011547005383792518	0.0	0.011547005383792518	0.02	0.0	0.02	False
KCNMB3	GO:0034220|GO:0071805|GO:0098655	0.0	0.0	0.0	0.0	0.0	0.0	False
TMEM38B	GO:0034220|GO:0070588|GO:0071805|GO:0098655	0.0	0.011547005383792518	0.0	0.0	0.02	0.0	False
TMCO1	GO:0034220|GO:0070588|GO:0098655	0.0	0.008728715609439695	0.0	0.0	0.02	0.0	False
TRPV2	GO:0034220|GO:0070588|GO:0098655|GO:0098739	0.0	0.0	0.0	0.0	0.0	0.0	False
CLIC4	GO:0034220	0.0	0.0	0.0	0.0	0.0	0.0	False
